artist,title,id,year,expo,hist-today,img_url,img_credits,place_today,lat_today,lon_today,place_hist,lat_hist,lon_hist
Mary Vieira,Intervolume: cuborama,intervolume-cuborama_1985,1985,"ESS-SPA 8, 1986",today,https://www.publics-arts.ch/files/original/0edc3c9fbe3df224c1cd0217c78c2dede1559d8d.jpg,"Kamahele, 2010 (via Wikimedia Commons, Public Domain)","Böblingerstrasse 24, Sindelfingen, Allemagne / Deutschland",48.706033,9.004485,"Place du Général-Guisan / General-Guisan-Platz, rue de la Gare / Bahnhofstrasse 16b, 2502 Bienne / Biel",47.134773,7.244583
,,intervolume-cuborama_1985,1985,,hist,https://www.publics-arts.ch/files/original/1d1b41e4499cb6a39196bf628438f473029ad3a9.jpeg,"Jeanne Chevalier, 1986",,,,,47.134773,7.244583
Corsin Fontana,Bodengravierung,bodengravierung_1986,1986,"ESS-SPA 8, 1986",today,https://www.publics-arts.ch/files/original/3531e68436592538fd02a8078da6f126c307b08d.jpg,"Yvonne Schweizer, 2023","Promenade de la Suze / Schüsspromenade, 2502 Bienne / Biel",47.136607,7.240929,"Promenade de la Suze / Schüsspromenade, 2502 Bienne / Biel",47.136607,7.240929
,,bodengravierung_1986,1986,,hist,https://www.publics-arts.ch/files/original/0b8bbd2df7529db496fab6fc49e7cb341b6ae971.jpg,"Jeanne Chevalier, 1986",,,,,47.136607,7.240929
Hans Aeschbacher,Figur II,figur-ii_1966,1966,"ESS-SPA 4, 1966",today,https://www.publics-arts.ch/files/original/876a919a4ac8fbe1ce80823dbeacfa3fadd66a43.jpeg,"Christopher Kilchenmann, 2023","Parc du Palais des Congrès / Park des Kongresshauses, 2502 Bienne / Biel",47.134417,7.247141,"Parc du Palais des Congrès / Park des Kongresshauses, 2502 Bienne / Biel",47.134456,7.247239
,,figur-ii_1966,1966,,hist,https://www.publics-arts.ch/files/original/9970109971cc5891aa162b94618e7159ba8682ff.jpg,"Jürg Rihs, 1966",,,,,47.134456,7.247239
Annemie Fontana,Sunrise,sunrise_1974,1974,"ESS-SPA 6, 1975",today,https://www.publics-arts.ch/files/original/2bdffca6fddec5f7415549dd7a6822fcbffa8c65.jpg,"Micha L. Rieser, 2008–10 (via Wikimedia Commons, Attribution)","Terrain de sport Hardhof / Hardhof Sportplatz, 8064 Zurich / Zürich",47.395754,8.49969,"Faubourg du Lac / Seevorstadt 14, 2502 Bienne / Biel",47.136431,7.236686
,,sunrise_1974,1974,,hist,https://www.publics-arts.ch/files/original/03978c6458bde9032191bc427a55e7032ec67a1b.jpg,"Renate Hügli Roth, 1975",,,,,47.136431,7.236686
André Ramseyer,Grand Astre,grand-astre_1965,1965,"ESS-SPA 4, 1966",today,https://www.publics-arts.ch/files/original/f726633b14663d570b19d1050c8c4d3fe565d579.jpeg,"Christopher Kilchenmann, 2023","Länggassstrasse 120, 3012 Berne / Bern",46.95672,7.427107,"Á côté du Palais de Congrès / Neben dem Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.134544,7.247809
,,grand-astre_1965,1965,,hist,https://www.publics-arts.ch/files/original/f1caa2069535442648c86de8d432485134a5b8d1.jpg,"Jürg Rihs, 1966",,,,,47.134544,7.247809
