artist,title,id,year,expo,place_today,lat_today,lon_today,place_hist,lat_hist,lon_hist
Franz Eggenschwiler,Dreibeiniger Mondaffe,dreibeiniger-mondaffe_1979,1979–80,"ESS-SPA 7, 1980","École professionnelle d'Olten / Berufsschule Olten, Aarauerstrasse 30, 4600 Olten",47.347667,7.909632,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.132281,7.233656
Angel Duarte,E 7 G,e-7-g_1964,1964–70,"ESS-SPA 5, 1970","Piscine du Château, chemin du Château 30, 2720 Tramelan",47.227590602497465,7.1244861730644455,"Prés-de-la-Rive, au bord du lac / Strandboden am Seeufer, 2503 Bienne / Biel",47.13245,7.233271
Willy Müller-Brittnau & Albert Siegenthaler,Grosser Rahmen,grosser-rahmen_1970,1970,"ESS-SPA 5, 1970","Lycée professionelle André-Argouges, 61 rue Léon Jouhaux, 38100 Grenoble, France",45.17668,5.745499,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.132641,7.235136
Herbert Distel,Findling,findling_1970,1970,"ESS-SPA 5, 1970","Giardino di Daniel Spoerri, Strada Provinciale Pescina, 58038 Seggiano, Italie / Italien",42.922194,11.570833,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.132766,7.23543
Walter Linck,Harpe Animée,harpe-animee_1961,1961–62,"ESS-SPA 3, 1962","Devant le Cinéma Palace / Vor dem Kino Palace, rue Thomas-Wyttenbach / Thomas-Wyttenbach-Strasse 4, 2502 Bienne / Biel",47.133861,7.244773,"Prés-de-la-Rive, au bord du lac / Strandboden am Seeufer, 2503 Bienne / Biel",47.132848,7.232765
Bernhard Luginbühl,Matrose,matrose_1978,1978,"ESS-SPA 7, 1980","Parc des sculptures Fondation Bernhard Luginbühl / Skulpturenpark Bernhard Luginbühl Stiftung, 3324 Mötschwil",47.049240398041555,7.567726197616105,"Parvis du Gymnase Bienne-Seeland / Vorplatz des Gymnasium Biel-Seeland, rue du Débarcadère / Ländtestrasse 10, 2503 Bienne / Biel",47.132935,7.235685
Ueli Berger,Jura,jura_1979,1979–80,"ESS-SPA 7, 1980","Gymnase Bienne-Seeland / Gymnasium Biel-Seeland, rue du Débarcadère / Ländtestrasse 10, 2503 Bienne / Biel",47.133015,7.235254,"Gymnase Bienne-Seeland / Gymnasium Biel-Seeland, rue du Débarcadère / Ländtestrasse 10, 2503 Bienne / Biel",47.133015,7.235254
Bernhard Luginbühl,Grosse Aggression,grosse-aggression_1961,1961,"ESS-SPA 3, 1962","École de la Champagne / Schulhaus Champagne, allée de la Champagne / Champagneallee 1, 2502 Bienne / Biel",47.145859,7.25963,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.133169,7.232247
Mariann Grunder,Element A,element-a_1970,1970,"ESS-SPA 5, 1970","Cour de l'école secondaire / Hof der Sekundarschule, rue de Collège 1, 2740 Moutier",47.279657,7.368422,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.13316,7.232247
Albert Siegenthaler,Dialogue,dialogue_1970,1970,"ESS-SPA 5, 1970","École Prés Walker / Schulhaus Walkermatte,  chemin du Triangle / Dreiangelweg 12, 2502 Bienne / Biel",47.144509,7.243834,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.133187,7.236545
