id,hist-today,img_url,img_credits
intervolume-cuborama_1985,today,https://www.publics-arts.ch/files/large/0edc3c9fbe3df224c1cd0217c78c2dede1559d8d.jpg,"Kamahele, 2010 (via Wikimedia Commons, Public Domain)"
intervolume-cuborama_1985,hist,https://www.publics-arts.ch/files/large/1d1b41e4499cb6a39196bf628438f473029ad3a9.jpg,"Jeanne Chevalier, 1986"
bodengravierung_1986,today,https://www.publics-arts.ch/files/large/3531e68436592538fd02a8078da6f126c307b08d.jpg,"Yvonne Schweizer, 2023"
bodengravierung_1986,hist,https://www.publics-arts.ch/files/large/0b8bbd2df7529db496fab6fc49e7cb341b6ae971.jpg,"Jeanne Chevalier, 1986"
figur-ii_1966,today,https://www.publics-arts.ch/files/large/876a919a4ac8fbe1ce80823dbeacfa3fadd66a43.jpg,"Christopher Kilchenmann, 2023"
figur-ii_1966,hist,https://www.publics-arts.ch/files/large/9970109971cc5891aa162b94618e7159ba8682ff.jpg,"Jürg Rihs, 1966"
sunrise_1974,today,https://www.publics-arts.ch/files/large/2bdffca6fddec5f7415549dd7a6822fcbffa8c65.jpg,"Micha L. Rieser, 2008–10 (via Wikimedia Commons, Attribution)"
sunrise_1974,hist,https://www.publics-arts.ch/files/large/03978c6458bde9032191bc427a55e7032ec67a1b.jpg,"Renate Hügli Roth, 1975"
grand-astre_1965,today,https://www.publics-arts.ch/files/large/f726633b14663d570b19d1050c8c4d3fe565d579.jpg,"Christopher Kilchenmann, 2023"
grand-astre_1965,hist,https://www.publics-arts.ch/files/large/f1caa2069535442648c86de8d432485134a5b8d1.jpg,"Jürg Rihs, 1966"
ph-ph_1975,today,https://www.publics-arts.ch/files/large/fe349b636bf94ce0c454c6e9abaef36a40ede27e.jpg,"Christopher Kilchenmann, 2023"
ph-ph_1975,hist,https://www.publics-arts.ch/files/large/e2f6b14453b2b8ec6cd7d71269a8eae019ae005a.jpg,"Renate Hügli Roth, 1975"
ph-ph_1975,today,https://www.publics-arts.ch/files/large/ab95b234d197ad6ca8cac6e0730d8729ea132402.jpg,"Yvonne Schweizer, 2023"
ph-ph_1975,hist,https://www.publics-arts.ch/files/large/68a332fec40adf76ddc95df2a0f9f074fa5d0788.jpg,"Jeanne Chevalier, 1975"
consolation_1954,today,https://www.publics-arts.ch/files/large/e983931e2c2f8043fe4841cbb38996c498ff72d1.jpg,"Christopher Kilchenmann, 2023"
